Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	20.00	330.47	5.50	355.44	-46.03	355.44	-46.03	9.6535E-7	NA	40.40	28.00	0.00	0.00	8.0760E-6	-4.5198E-6	9.8447E-7	8.3609E-6	-4.7358E-6	9.2608E-7	-1.4677E-7	3.9777E-7	2.1825E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.5221E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	57.00	331.63	6.94	358.01	-45.60	358.01	-45.60	9.0111E-7	NA	40.40	28.00	0.00	0.00	7.8152E-6	-4.0424E-6	1.0577E-6	7.8707E-6	-4.2505E-6	1.0890E-6	8.2628E-8	3.8980E-7	1.2855E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.2611E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	80.00	333.76	2.47	356.48	-50.45	356.48	-50.45	7.9447E-7	NA	40.40	28.00	0.00	0.00	7.2835E-6	-3.2859E-6	9.2565E-7	7.1194E-6	-3.5093E-6	3.4184E-7	4.3349E-8	3.9274E-7	1.1209E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	110.00	329.44	6.06	354.81	-44.95	354.81	-44.95	7.1095E-7	NA	40.40	28.00	0.00	0.00	5.6488E-6	-3.9434E-6	7.9679E-7	6.0880E-6	-3.5943E-6	7.5040E-7	-2.3398E-7	-1.7472E-7	1.4674E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.4785E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	140.00	329.95	7.44	356.57	-44.19	356.57	-44.19	6.0220E-7	NA	40.40	28.00	0.00	0.00	4.8674E-6	-2.7173E-6	7.8370E-7	5.1684E-6	-2.9905E-6	7.8014E-7	-9.5745E-8	4.4752E-7	1.0391E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.7395E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
