Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	20.00	3.41	-37.61	249.10	-79.01	249.10	-79.01	7.8146E-6	NA	83.40	27.00	0.00	0.00	6.1256E-5	4.1748E-6	-4.7408E-5	6.1798E-5	3.6783E-6	-4.7688E-5	-2.1850E-7	5.9217E-7	3.2491E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.9963E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	57.00	7.15	-39.46	239.65	-76.19	239.65	-76.19	7.5640E-6	NA	83.40	27.00	0.00	0.00	5.7744E-5	7.7576E-6	-4.7925E-5	5.7945E-5	7.2730E-6	-4.8072E-5	1.2300E-7	5.8026E-7	1.9137E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.8480E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	80.00	11.59	-39.63	228.96	-74.12	228.96	-74.12	7.0701E-6	NA	83.40	27.00	0.00	0.00	5.3334E-5	1.1541E-5	-4.4758E-5	5.3345E-5	1.0943E-5	-4.5091E-5	6.4468E-8	5.8407E-7	1.6670E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.9000E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	110.00	26.41	-37.85	206.11	-65.33	206.11	-65.33	6.5184E-6	NA	83.40	27.00	0.00	0.00	4.5608E-5	2.2549E-5	-3.9815E-5	4.6101E-5	2.2897E-5	-3.9993E-5	-3.4645E-7	-2.5871E-7	2.1727E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.3038E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	140.00	52.20	-33.95	195.55	-44.95	195.55	-44.95	5.9243E-6	NA	83.40	27.00	0.00	0.00	2.9832E-5	3.9405E-5	-3.2972E-5	3.0120E-5	3.8830E-5	-3.3087E-5	-1.4205E-7	6.6397E-7	1.5416E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.1522E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	175.00	65.46	-27.52	190.26	-32.55	190.26	-32.55	5.8562E-6	NA	83.40	27.00	0.00	0.00	2.1653E-5	4.7811E-5	-2.6722E-5	2.1571E-5	4.7242E-5	-2.7063E-5	2.2832E-7	6.5876E-7	3.8035E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2038E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	210.00	78.20	-17.65	184.42	-18.14	184.42	-18.14	5.9485E-6	NA	83.40	27.00	0.00	0.00	1.1451E-5	5.6374E-5	-1.7870E-5	1.1593E-5	5.5487E-5	-1.8035E-5	-4.0398E-8	7.1936E-7	1.9351E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.3483E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	240.00	84.57	-14.30	183.88	-11.18	183.88	-11.18	5.7127E-6	NA	83.40	27.00	0.00	0.00	5.1857E-6	5.5273E-5	-1.3944E-5	5.2402E-6	5.5108E-5	-1.4108E-5	4.7223E-8	-3.6731E-9	1.9253E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.3484E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	270.00	84.35	-11.31	181.04	-10.08	181.04	-10.08	5.5880E-6	NA	83.40	27.00	0.00	0.00	5.3373E-6	5.4687E-5	-1.0783E-5	5.3918E-6	5.4529E-5	-1.0958E-5	4.7267E-8	-9.8421E-9	2.0344E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2484E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	300.00	90.83	-8.65	181.49	-3.18	181.49	-3.18	5.4168E-6	NA	83.40	27.00	0.00	0.00	-1.0071E-6	5.3566E-5	-8.2183E-6	-7.7338E-7	5.3546E-5	-8.1470E-6	1.8327E-8	1.7779E-8	-1.7532E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.3000E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	330.00	88.72	-11.00	182.66	-6.09	182.66	-6.09	5.1856E-6	NA	83.40	27.00	0.00	0.00	1.0751E-6	5.1325E-5	-9.7951E-6	1.1370E-6	5.0891E-5	-9.8933E-6	1.9007E-7	4.3219E-7	-5.7964E-9	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2485E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	360.00	90.23	-11.40	183.69	-4.95	183.69	-4.95	4.8877E-6	NA	83.40	27.00	0.00	0.00	-2.5466E-7	4.8347E-5	-9.3849E-6	-1.9184E-7	4.7911E-5	-9.6641E-6	1.8921E-7	4.3428E-7	1.7522E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.1517E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	390.00	91.03	-8.64	181.57	-3.00	181.57	-3.00	4.9368E-6	NA	83.40	27.00	0.00	0.00	-6.9054E-7	5.0236E-5	-7.1543E-6	-8.7794E-7	4.8800E-5	-7.4197E-6	2.0214E-7	1.4178E-6	2.0645E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.1482E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	420.00	96.83	-7.85	183.50	2.46	183.50	2.46	4.8203E-6	NA	83.40	27.00	0.00	0.00	-5.4635E-6	4.8852E-5	-6.3294E-6	-5.6758E-6	4.7412E-5	-6.5875E-6	2.2712E-7	1.4209E-6	1.9907E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.1964E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	450.00	94.10	-8.11	182.48	-0.06	182.48	-0.06	4.5180E-6	NA	83.40	27.00	0.00	0.00	-2.2505E-6	4.5071E-5	-6.1445E-6	-3.1949E-6	4.4614E-5	-6.3717E-6	9.5922E-7	4.3814E-7	1.6827E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.0967E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	480.00	100.28	-8.21	185.42	5.31	185.42	5.31	4.0622E-6	NA	83.40	27.00	0.00	0.00	-7.0159E-6	4.0890E-5	-5.3140E-6	-7.1729E-6	3.9561E-5	-5.8000E-6	1.3002E-7	1.3176E-6	4.1745E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2003E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	510.00	94.55	-1.72	177.00	3.27	177.00	3.27	3.9366E-6	NA	83.40	27.00	0.00	0.00	-3.3371E-6	3.9677E-5	-8.2399E-7	-3.1198E-6	3.9225E-5	-1.1800E-6	-1.0184E-7	4.0059E-7	3.1200E-7	0.00	NA	NA	NA	10.00
QM1701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2484E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
