Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	20.00	13.43	14.28	2.57	-46.71	2.57	-46.71	8.5860E-7	NA	343.40	27.00	0.00	0.00	7.7792E-6	2.0612E-6	2.1542E-6	8.0931E-6	1.9330E-6	2.1177E-6	-9.9462E-8	2.6956E-7	1.4790E-7	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.2272E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	57.00	12.13	11.68	1.90	-49.56	1.90	-49.56	8.4582E-7	NA	343.40	27.00	0.00	0.00	7.9397E-6	1.8640E-6	1.6886E-6	8.0980E-6	1.7406E-6	1.7126E-6	5.6122E-8	2.6475E-7	8.7314E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.1139E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	80.00	18.20	6.91	13.48	-51.78	13.48	-51.78	7.3816E-7	NA	343.40	27.00	0.00	0.00	7.1924E-6	2.3297E-6	1.5196E-6	6.9612E-6	2.2892E-6	8.8855E-7	2.9271E-8	2.6519E-7	7.5688E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	110.00	12.23	14.51	0.84	-46.83	0.84	-46.83	6.8298E-7	NA	343.40	27.00	0.00	0.00	5.9986E-6	1.1164E-6	1.4875E-6	6.4620E-6	1.4002E-6	1.7112E-6	-1.5947E-7	-1.1908E-7	1.0001E-7	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.7715E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	140.00	18.40	14.76	8.78	-44.58	8.78	-44.58	6.8212E-7	NA	343.40	27.00	0.00	0.00	5.8902E-6	2.2200E-6	1.4844E-6	6.2588E-6	2.0825E-6	1.7379E-6	-6.4664E-8	3.0225E-7	7.0175E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.8852E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	175.00	20.57	15.49	11.00	-43.05	11.00	-43.05	6.5238E-7	NA	343.40	27.00	0.00	0.00	5.6865E-6	2.3450E-6	1.5922E-6	5.8861E-6	2.2088E-6	1.7421E-6	1.0429E-7	3.0091E-7	1.7374E-7	0.00	NA	NA	NA	10.00
